Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Rodentia,Muridae,Ammodillus,imbellis,Ammodillus_imbellis,NA,50,NA,95.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899;2655,NA,226421,10.07,4.21,7.14,48.85,44.08,46.46,14.7,258.41,264.01,1739.54
Artiodactyla,Bovidae,Ammodorcas,clarkei,Ammodorcas_clarkei,NA,28000,NA,1509.96,NA,NA,NA,NA,NA,199.99,1,36,NA,4,1,NA,511;730;899;1297;1525;1848;2655;2693,NA,287057,9.57,2.79,6.18,50.02,43.14,46.58,17.16,257.53,305.08,1776.29
Rodentia,Sciuridae,Ammospermophilus,harrisii,Ammospermophilus_harrisii,3,127,NA,160.08,NA,NA,NA,4,NA,29.23,NA,NA,212.09,NA,NA,1,305;730;1297;1977;2111;2655;2974,NA,270261,36.14,28.33,32.24,-108.43,-114.73,-111.58,23.55,179.11,350.84,1173.24
Rodentia,Sciuridae,Ammospermophilus,insularis,Ammospermophilus_insularis,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,99.5,83,24.53,24.39,24.46,-110.29,-110.39,-110.34,18,225,NA,NA
Rodentia,Sciuridae,Ammospermophilus,interpres,Ammospermophilus_interpres,3,113,NA,152.21,NA,NA,NA,4,NA,NA,2,NA,NA,10,1,2,304;1297;2655,NA,313517,35.51,24.72,30.12,-100.81,-107.46,-104.13,24.76,177.02,422.94,1097.07
Rodentia,Sciuridae,Ammospermophilus,leucurus,Ammospermophilus_leucurus,3,104,NA,151.32,NA,93.88,95.7,5,NA,29.46,2,69.6,329.04,NA,1,2,236;430;431;543;808;1215;1297;1577;1822;1849;1977;2655;2974,NA,990898,44.14,22.86,33.5,-106.3,-120.49,-113.4,20.15,101.92,303.7,993.59
Rodentia,Sciuridae,Ammospermophilus,nelsoni,Ammospermophilus_nelsoni,3,160,NA,168.58,NA,NA,NA,5,NA,26,2,66,328.99,14,1,2,306;1015;1287;1288;1297;2655;2974,NA,4125,36.75,34.79,35.77,-119.24,-120.84,-120.04,40.84,133.54,333.23,1209.25
Artiodactyla,Bovidae,Ammotragus,lervia,Ammotragus_lervia,NA,93200,NA,1450,407.58,NA,NA,2,NA,156.24,1,252,456.25,3,1,1,543;899;1168;1297;1525;1573;1848;2555;2655;2986,NA,1447451,35.21,14.47,24.84,36.55,-15.33,10.6,5.62,225.35,103.32,1256.23
Chiroptera,Furipteridae,Amorphochilus,schnablii,Amorphochilus_schnablii,NA,NA,36,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,890;1297;1431;1658;2151,7.34,437430,-0.56,-21.74,-11.15,-68.67,-81.35,-75.01,34.8,102.52,513.18,1285.52
Scandentia,Tupaiidae,Anathana,ellioti,Anathana_ellioti,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297;2655,NA,1373477,23.94,8.06,16,87.75,72.61,80.18,99.8,259.26,818.58,1548.17
Rodentia,Muridae,Andalgalomys,olrogi,Andalgalomys_olrogi,NA,32.9,NA,96.25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,890;1877;2655,NA,593,-27.48,-27.79,-27.64,-66.15,-66.39,-66.27,56.01,66.35,549.52,1253.09
Rodentia,Muridae,Andalgalomys,pearsoni,Andalgalomys_pearsoni,NA,25.4,NA,101.63,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,890;1877;2655,NA,62302,-18.07,-22.15,-20.11,-58.17,-62.34,-60.25,76.13,254.18,972.26,1227.26
Rodentia,Muridae,Andinomys,edax,Andinomys_edax,NA,69.7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,890;1297;2655,NA,332582,-13.98,-31.2,-22.59,-63.8,-71.97,-67.88,60.47,79.82,674.09,1278.88
Rodentia,Muridae,Anisomys,imitator,Anisomys_imitator,NA,511,NA,264.23,NA,NA,NA,3,NA,NA,2,NA,NA,6,2,1,456;661;977;2152;2655;2803,NA,243508,-3.13,-10.22,-6.67,149.65,135.25,142.45,265.82,207.43,1689.93,1713.59
Rodentia,Anomaluridae,Anomalurus,beecrofti,Anomalurus_beecrofti,1,479,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,904;1297;2655,NA,4958783,16.56,-6.77,4.89,29.31,-17.53,5.88,136.46,253.23,1203.66,1563.78
Rodentia,Anomaluridae,Anomalurus,derbianus,Anomalurus_derbianus,1,665,NA,357.49,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,904;1297;1535;2399;2655,NA,7480085,9.11,-17.99,-4.44,39.51,-12.61,13.45,116.84,230.18,1113.67,1512.99
Rodentia,Anomaluridae,Anomalurus,pelii,Anomalurus_pelii,NA,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297;2655,NA,340631,8,4.35,6.17,0.47,-11.8,-5.66,167.82,256.25,1349.35,1589.64
Rodentia,Anomaluridae,Anomalurus,pusillus,Anomalurus_pusillus,1,250,NA,196.93,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,904;1535;2655,NA,1979711,7.26,-6.21,0.52,30.28,-11.82,9.22,155.45,243.35,1413.96,1560.23
Rodentia,Muridae,Anonymomys,mindorensis,Anonymomys_mindorensis,NA,NA,NA,123.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152,55.2,341,13.35,13.16,13.26,120.92,120.73,120.83,220,227,NA,NA
Rodentia,Muridae,Anotomys,leander,Anotomys_leander,NA,66.4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1297;2151;2655,NA,29663,0.81,-3.67,-1.43,-77.5,-79.13,-78.32,166.83,141.85,1247.24,1394.17
Chiroptera,Phyllostomidae,Anoura,caudifera,Anoura_caudifera,NA,10.7,36.14,58.66,NA,35.07,11.5,3,NA,108.1,1,NA,NA,NA,2,2,196;536;889;1297;1658;1707;1822;1948;2151;2622;2655;2719;2797,NA,8755498,12.46,-28.72,-8.12,-37.43,-79.94,-58.68,150.88,230.85,1319.22,1527.5
Chiroptera,Phyllostomidae,Anoura,cultrata,Anoura_cultrata,NA,17.2,42.8,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,2,889;1297;1658;1774;2151;2655;2798;3023,NA,1873139,12.46,-15.86,-1.7,-63.79,-84.98,-74.38,164.27,232.11,1355.35,1560.16
Chiroptera,Phyllostomidae,Anoura,geoffroyi,Anoura_geoffroyi,NA,15,42.7,NA,NA,NA,NA,3,NA,125.46,1,120,NA,NA,2,2,108;196;217;543;889;1297;1311;1325;1388;1658;2143;2151;2622;2655;2719;2763;3023;3037;3038,NA,8631466,25.97,-25.46,0.25,-34.79,-108.83,-71.81,128.98,221.14,1191.28,1510.91
Chiroptera,Phyllostomidae,Anoura,latidens,Anoura_latidens,NA,14.9,43,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,2,889;1658;2151;2622;2655,NA,450083,12.2,6.99,9.59,-60.78,-72.77,-66.77,102.16,254.58,1303.89,1742.17
Insectivora,Soricidae,Anourosorex,squamipes,Anourosorex_squamipes,NA,20,NA,94.87,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,626;1297;1429;1456;1488;2655;3121,NA,1252684,34,17.32,25.66,122,89.08,105.54,123.2,125.45,951.34,1136.22
Dasyuromorphia,Dasyuridae,Antechinus,bellus,Antechinus_bellus,2,39.4,NA,114.76,NA,NA,NA,NA,NA,29.99,1,27.6,335.78,10,1,NA,524;955;1297;1760;1848;2655,NA,118057,-11.11,-14.72,-12.91,136.97,130.58,133.77,94.51,266.38,928.8,1788.72
Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Antechinus_flavipes,2,44.8,NA,NA,NA,45.1,46.5,NA,NA,28,1,42,282.79,NA,1,NA,543;796;955;1052;1297;1760;1822;1848;2484;2655,NA,953346,-15.31,-38.52,-26.92,153.63,114.97,134.3,62.29,169.41,675.87,1218.46
Dasyuromorphia,Dasyuridae,Antechinus,godmani,Antechinus_godmani,2,76.8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,316.59,NA,1,NA,955;1297;1760;1848;2655,NA,3443,-17.65,-18.24,-17.94,145.38,144.76,145.07,99.99,209,1078.27,1643.23
Dasyuromorphia,Dasyuridae,Antechinus,leo,Antechinus_leo,2,71.1,NA,NA,NA,NA,NA,NA,NA,30.99,1,24,335.78,NA,1,NA,955;1297;1760;1848;2655,NA,5555,-12.43,-13.72,-13.08,143.6,143.03,143.31,103.26,279.25,916.29,1803.94
Dasyuromorphia,Dasyuridae,Antechinus,melanurus,Antechinus_melanurus,2,38.9,NA,110.99,NA,NA,NA,1,NA,NA,1,NA,316.59,4,1,3,955;977;1297;1760;1848;1991;2152;2655,NA,196855,-1.02,-10.3,-5.66,149.73,133.74,141.74,264.71,201.58,1686.8,1700.08
Dasyuromorphia,Dasyuridae,Antechinus,minimus,Antechinus_minimus,2,53.3,NA,NA,NA,NA,NA,NA,NA,29.27,1,24,306.89,NA,1,NA,955;1297;1760;1762;1848;2655,NA,109625,-36.77,-43.64,-40.2,148.48,139.66,144.07,66.04,117.69,572.85,863.85
Dasyuromorphia,Dasyuridae,Antechinus,naso,Antechinus_naso,2,54.1,NA,121.87,NA,NA,NA,1,NA,NA,3,NA,316.59,4,2,3,955;977;1297;1760;1848;1991;2152;2655;3083;3084,NA,145561,-1.06,-8.9,-4.98,147.29,133.65,140.47,275.26,185.82,1690.01,1710.48
Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Antechinus_stuartii,2,29.7,NA,NA,NA,34.81,28.1,3,NA,28.22,2,36,283.06,NA,2,2,543;730;796;797;955;966;1297;1412;1573;1577;1760;1762;1822;1848;1912;2483;2484;2574;2655;2997,NA,333594,-16.58,-39.13,-27.86,153.63,141.67,147.65,79.12,150,751.06,1164.07
Dasyuromorphia,Dasyuridae,Antechinus,swainsonii,Antechinus_swainsonii,2,65,NA,NA,NA,NA,NA,2,NA,29.69,2,24,269.93,NA,1,2,796;955;1297;1412;1760;1762;1848;2484;2574;2655,NA,319670,-26.69,-43.06,-34.87,153.63,141.21,147.42,70.99,136.67,677.94,1059.91
Dasyuromorphia,Dasyuridae,Antechinus,wilhelmina,Antechinus_wilhelmina,2,NA,NA,106.34,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,3,977;1760;1848;2152,36.2,8969,-3.59,-5.89,-4.74,145.52,138.09,141.8,248.53,162.47,1648.42,1688.12
Chiroptera,Rhinolophidae,Anthops,ornatus,Anthops_ornatus,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,18.2,15373,-6.08,-9.94,-8.01,160.83,155.23,158.03,189.75,262.79,NA,NA
Artiodactyla,Bovidae,Antidorcas,marsupialis,Antidorcas_marsupialis,2,33200,NA,1054.99,NA,NA,NA,2,NA,169.49,1,240,279.01,NA,1,1,543;730;869;917;1297;1525;1848;2629;2655;2693;2986,NA,1066805,-12.52,-28.97,-20.74,27.61,11.71,19.66,24.02,190.07,377.53,1329.2
Artiodactyla,Antilocapridae,Antilocapra,americana,Antilocapra_americana,NA,46900,NA,1311.99,365,8960,32000,2,NA,247.99,1,144,457.8,NA,1,1,511;519;543;730;764;1297;1404;1573;1763;1822;1848;2167;2655;2718;2986,NA,2009746,51.37,23.04,37.21,-95.02,-121.25,-108.14,29.88,90.76,435.07,870.35
Artiodactyla,Bovidae,Antilope,cervicapra,Antilope_cervicapra,NA,35900,NA,1250,669.16,NA,NA,5,NA,166.59,1,243,986.1,NA,1,1,511;543;730;899;1297;1525;1848;2374;2655,NA,1248647,29.43,8.06,18.75,84.2,68.91,76.56,76.83,256.63,688.1,1447
Chiroptera,Vespertilionidae,Antrozous,dubiaquercus,Antrozous_dubiaquercus,NA,22,53.26,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,804;907;1297;1658;2151;2622;2655,NA,297070,21.81,11.17,16.49,-83.13,-106.3,-94.71,171.52,241.32,1396.07,1619.64
