Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Chiroptera,Vespertilionidae,Myotis,blythii,Myotis_blythii,NA,23.82,58.49,NA,NA,NA,NA,NA,NA,NA,1,237.99,420.91,NA,2,NA,109;1297;1658;2151;2622;2655,NA,3247785.97,53.33,23.76,38.55,120.21,31.51,75.86,39.35,116.67,416.49,1003.83
Chiroptera,Vespertilionidae,Myotis,bocagii,Myotis_bocagii,NA,7.93,38,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,44;196;1297;1658;2143;2151;2295;2622;2655;2719;3023,NA,12300213.71,16.04,-24.85,-4.4,51.8,-16.82,17.48,103.1,238.74,1005.03,1559.8
Chiroptera,Vespertilionidae,Myotis,bombinus,Myotis_bombinus,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,9.74,662214.05,48.22,30.98,39.6,145.82,123.95,134.89,95.43,51.43,649.5,707.13
Chiroptera,Vespertilionidae,Myotis,brandtii,Myotis_brandtii,NA,5.3,34.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622;2655,NA,10341787.32,66.02,36.01,51.02,143.94,-9.49,67.22,45.44,42.96,412.53,528
Chiroptera,Vespertilionidae,Myotis,bucharensis,Myotis_bucharensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,californicus,Myotis_californicus,NA,4.39,33.14,NA,NA,NA,NA,1,NA,NA,1,180,NA,NA,2,3,657;1297;1658;2143;2151;2622;2625;2655,NA,3994128.1,56.4,15.64,36.02,-91.88,-131.42,-111.65,45.05,124.62,479.42,1039.29
Chiroptera,Vespertilionidae,Myotis,capaccinii,Myotis_capaccinii,NA,8.15,40,NA,NA,NA,NA,1,NA,54.99,1,NA,377.57,NA,2,3,1015;1297;1658;2143;2151;2622;2655;2920,NA,1758634.4,47.44,27.03,37.23,62.29,-6.26,28.01,47.13,125.18,431.11,972.93
Chiroptera,Vespertilionidae,Myotis,chiloensis,Myotis_chiloensis,NA,NA,38,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,890;1297;1658;2151,8.41,562838.91,-28.53,-55.51,-42.02,-68.43,-75.71,-72.07,101.3,52.27,444.61,740.63
Chiroptera,Vespertilionidae,Myotis,chinensis,Myotis_chinensis,NA,41.99,65,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622,NA,1209407.95,28.57,17.35,22.96,119.95,97.61,108.78,118.99,156.31,1046.22,1163.47
Chiroptera,Vespertilionidae,Myotis,ciliolabrum,Myotis_ciliolabrum,NA,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,cobanensis,Myotis_cobanensis,NA,NA,41.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,10.82,294.52,15.56,15.39,15.47,-90.28,-90.45,-90.36,139.92,203.46,1481.98,1616.97
Chiroptera,Vespertilionidae,Myotis,csorbai,Myotis_csorbai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33044.81,28.96,27.17,28.07,85.6,82.4,84,109.71,131.14,865.97,1160.11
Chiroptera,Vespertilionidae,Myotis,dasycneme,Myotis_dasycneme,NA,15.16,45.5,NA,NA,NA,NA,1,NA,NA,1,234,NA,NA,2,3,196;543;1658;2143;2151;2295;2470;2655;2719,NA,6606862.4,65.1,44.57,54.84,125.67,4.1,64.89,43.12,28.93,387.58,427.69
Chiroptera,Vespertilionidae,Myotis,daubentonii,Myotis_daubentonii,NA,7.63,36.59,44.4,NA,NA,NA,2,NA,55.14,1,336,371.23,NA,2,3,196;400;543;892;1297;1521;1658;2143;2151;2295;2470;2622;2655;2719;2977;3001,NA,14824937.25,63.01,26.73,44.87,145.82,-10.47,67.67,46.1,21.71,426.22,515.06
Chiroptera,Vespertilionidae,Myotis,davidii,Myotis_davidii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,dominicensis,Myotis_dominicensis,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,6.11,2248.11,16.51,15.2,15.85,-61.16,-61.8,-61.48,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,elegans,Myotis_elegans,NA,4.21,32.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1297;1658;2151;2622;2655,NA,669104.48,23.33,9.59,16.46,-83.13,-100.06,-91.59,151.31,234.87,1287.81,1625.37
Chiroptera,Vespertilionidae,Myotis,emarginatus,Myotis_emarginatus,NA,7.56,40,NA,547.5,NA,NA,NA,NA,NA,1,216,413.84,NA,2,NA,428;543;1297;1658;2143;2151;2352;2438;2470;2622;2633;2634;2655;2920,NA,3765086.81,53.39,23.21,38.3,73.14,-9.32,31.91,48.03,97.72,440.36,748.8
Chiroptera,Vespertilionidae,Myotis,evotis,Myotis_evotis,NA,6.91,36.72,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,543;1297;1658;2143;2151;2622;2655;3023,NA,3119769.09,54.76,25.49,40.12,-102.53,-127.89,-115.21,36.24,60.78,363.99,788.12
Chiroptera,Vespertilionidae,Myotis,fimbriatus,Myotis_fimbriatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100728.99,26.8,22.25,24.53,118.38,113.73,116.06,114.1,172.79,1135.7,1187.92
Chiroptera,Vespertilionidae,Myotis,findleyi,Myotis_findleyi,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,4.91,398.67,21.71,21.25,21.48,-106.2,-106.66,-106.43,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,formosus,Myotis_formosus,NA,7.07,48.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1439;1658;2151;2655,NA,3602303.43,54.34,-8.84,22.74,133.24,62.64,97.94,131.68,165.44,966.21,1190.37
Chiroptera,Vespertilionidae,Myotis,fortidens,Myotis_fortidens,NA,4.37,37,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,196;1297;1658;2151;2655;2719,NA,470951.95,30.96,14.58,22.77,-91.17,-111.26,-101.21,90.99,218.23,965.18,1535.38
Chiroptera,Vespertilionidae,Myotis,frater,Myotis_frater,NA,7.54,38.49,NA,730,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1297;1658;2151;2622;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,gomantongensis,Myotis_gomantongensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737413.1,7.03,-4.18,1.42,119.26,108.83,114.05,260.63,244.88,1681.05,1712.73
Chiroptera,Vespertilionidae,Myotis,goudoti,Myotis_goudoti,NA,5.56,39.48,95,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,1048;1658;2151,NA,313769.92,-12.48,-25.2,-18.84,50.48,43.22,46.85,130.33,223.89,1109.64,1615.19
Chiroptera,Vespertilionidae,Myotis,grisescens,Myotis_grisescens,1,10.84,43.26,NA,730,NA,NA,1,NA,NA,1,471.24,530.44,NA,2,3,185;543;768;899;1297;1658;1683;1705;2025;2143;2151;2215;2622;2655;2724,NA,854748.87,41.22,30.3,35.76,-79.67,-93.03,-86.35,94.64,147.3,882.26,956.69
Chiroptera,Vespertilionidae,Myotis,hajastanicus,Myotis_hajastanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7282.75,40.85,39.94,40.39,45.95,44.75,45.35,36.37,40.04,520.31,796.85
Chiroptera,Vespertilionidae,Myotis,hasseltii,Myotis_hasseltii,NA,8.7,38.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,196;1297;1658;2151;2622;2655,NA,2413306.66,24,-8.78,7.61,119.26,80.13,99.7,196.41,243.68,1388.28,1619.63
Chiroptera,Vespertilionidae,Myotis,hermani,Myotis_hermani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.25,5.9,5.76,5.83,95.37,95.21,95.29,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,horsfieldii,Myotis_horsfieldii,NA,6.05,38.31,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,76;196;1439;1658;2151;2655,NA,1457245.69,26.68,-8.96,8.85,125.15,72.82,98.99,193.27,245.85,1301.58,1633.73
Chiroptera,Vespertilionidae,Myotis,hosonoi,Myotis_hosonoi,NA,NA,34.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,6.64,1171.01,39.93,35.38,37.66,141.84,137.89,139.86,113.42,70.12,763.88,804.72
Chiroptera,Vespertilionidae,Myotis,ikonnikovi,Myotis_ikonnikovi,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,5.86,1685813.38,57.22,33.42,45.32,145.82,79.15,112.48,44.95,5.44,375.42,587.49
Chiroptera,Vespertilionidae,Myotis,insularum,Myotis_insularum,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,6.11,1746.15,-13.43,-13.8,-13.61,-172.16,-172.79,-172.48,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,keaysi,Myotis_keaysi,NA,5.45,36.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1297;1658;2151;2622;2655,NA,3235410.02,23.81,-28.28,-2.23,-59.78,-100.01,-79.9,131.91,214.67,1226.6,1534.95
Chiroptera,Vespertilionidae,Myotis,keenii,Myotis_keenii,NA,6.51,36.5,NA,NA,NA,NA,NA,NA,NA,1,222,NA,NA,2,NA,1297;1658;1693;2143;2151;2215;2622;2655,NA,398644.38,57.51,46,51.75,-119.46,-131.08,-125.27,78.44,19.62,372.04,485.48
Chiroptera,Vespertilionidae,Myotis,laniger,Myotis_laniger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920362.79,31.21,18.16,24.69,117.95,91.45,104.7,148.27,154.9,1078.23,1239.13
Chiroptera,Vespertilionidae,Myotis,leibii,Myotis_leibii,NA,5.22,32.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1297;1658;2143;2151;2622;2655,NA,1424872.3,48.09,33.69,40.89,-66.95,-95.02,-80.99,84.65,107.68,736.61,812.13
Chiroptera,Vespertilionidae,Myotis,levis,Myotis_levis,NA,5.49,38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622;2655,NA,3055141.25,-16.49,-41.16,-28.83,-44.41,-71.48,-57.95,78.24,154.51,820.74,1108.15
Chiroptera,Vespertilionidae,Myotis,longipes,Myotis_longipes,NA,NA,35.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,7.2,402070.4,35.34,25.02,30.18,90.63,68.5,79.56,94.68,100.93,766.43,1141.24
Chiroptera,Vespertilionidae,Myotis,lucifugus,Myotis_lucifugus,NA,7.8,37.76,52.7,730,9.29,6.5,1,NA,59.79,1,408,280.6,NA,2,3,43;185;196;488;499;520;543;657;711;755;867;924;937;938;950;1161;1297;1334;1384;1388;1536;1658;1697;1704;1705;1706;1707;1710;1822;20252143;2151;2161;2164;2215;2567;2568;2655;2673;2712;2719;2750;2879;3023;3047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,macrodactylus,Myotis_macrodactylus,NA,7.48,38.36,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1297;1658;1705;2151;2655,NA,517296.29,45.72,30.22,37.97,145.82,127.02,136.42,104.45,63.85,662.46,709.48
Chiroptera,Vespertilionidae,Myotis,macropus,Myotis_macropus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792461.6,-10.69,-39.13,-24.91,153.63,139.27,146.45,72.45,178.12,746.25,1280.63
Chiroptera,Vespertilionidae,Myotis,macrotarsus,Myotis_macrotarsus,NA,12.64,47,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1439;1658;2151;2655,NA,237568.76,18.65,4.44,11.54,126.6,117.17,121.88,202.61,241.04,1473.97,1733.49
Chiroptera,Vespertilionidae,Myotis,martiniquensis,Myotis_martiniquensis,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,7.49,1587.98,14.87,13.03,13.95,-59.42,-61.23,-60.32,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,melanorhinus,Myotis_melanorhinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4297565.61,54.42,20.18,37.3,-97.77,-123.62,-110.7,31.6,98.2,414.2,920.09
Chiroptera,Vespertilionidae,Myotis,moluccarum,Myotis_moluccarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176019.19,4.54,-18.27,-6.86,167.83,118.75,143.29,171.63,250.17,1222.31,1741.88
Chiroptera,Vespertilionidae,Myotis,montivagus,Myotis_montivagus,NA,8.3,43,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,196;1658;2151;2655,NA,946712.09,28.56,4.23,16.4,116.48,74.44,95.46,133.67,177.83,1086.03,1340.7
Chiroptera,Vespertilionidae,Myotis,morrisi,Myotis_morrisi,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,14.09,186988.69,10.97,6.73,8.85,37.6,6.06,21.83,115.66,231.3,1030.89,1518.3
Chiroptera,Vespertilionidae,Myotis,muricola,Myotis_muricola,NA,4.8,34.69,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,196;1297;1439;1621;1658;2151;2655;2719,NA,6272844.55,36.45,-10.32,13.06,128.34,69.25,98.8,162.57,195.77,1152.57,1414.46
Chiroptera,Vespertilionidae,Myotis,myotis,Myotis_myotis,NA,25.59,63.9,72,730,NA,NA,1,NA,73,1,264,399.6,NA,2,3,107;109;110;196;543;762;892;1015;1297;1536;1658;1668;1704;1784;1871;1910;2037;2143;2151;2295;2352;2470;2622;2633;2655;2719;3014,NA,3731149.73,58.87,36.01,47.44,34.16,-9.49,12.33,58.21,91.02,504.81,658.57
Chiroptera,Vespertilionidae,Myotis,mystacinus,Myotis_mystacinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,NA,7.25,39.35,NA,NA,NA,NA,1,NA,NA,1,180,NA,NA,2,3,107;196;543;1297;1658;1668;1705;2143;2151;2295;2350;2622;2655;2719,NA,4811054.08,61.85,30.25,46.05,68.43,-10.47,28.97,53.52,83.23,461.22,637.45
Chiroptera,Vespertilionidae,Myotis,nesopolus,Myotis_nesopolus,NA,3.56,31.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622;2655,NA,53573.46,12.46,9.71,11.08,-69.64,-72.89,-71.26,47.93,259.02,1181.14,1931.68
Chiroptera,Vespertilionidae,Myotis,nigricans,Myotis_nigricans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14531338.92,24.12,-29.99,-2.93,-34.79,-100.44,-67.62,145.55,234.83,1263.31,1511.65
Chiroptera,Vespertilionidae,Myotis,nipalensis,Myotis_nipalensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,occultus,Myotis_occultus,NA,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,oreias,Myotis_oreias,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,8.41,557.11,1.47,1.25,1.36,104,103.63,103.82,197,270.5,NA,NA
Chiroptera,Vespertilionidae,Myotis,oxygnathus,Myotis_oxygnathus,NA,21.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2143,NA,2492979.74,50.8,33.35,42.08,70.58,-7.68,31.45,52.89,94.78,482.76,795.65
Chiroptera,Vespertilionidae,Myotis,oxyotus,Myotis_oxyotus,NA,5.65,40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1297;1658;2151;2622;2655,NA,2445705.56,12.46,-17.52,-2.53,-60.87,-85.3,-73.08,138.49,207.37,1248.86,1554.32
Chiroptera,Vespertilionidae,Myotis,ozensis,Myotis_ozensis,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,5.86,74.31,36.95,36.85,36.9,139.36,139.26,139.31,164,54,807,807
Chiroptera,Vespertilionidae,Myotis,peninsularis,Myotis_peninsularis,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,9.05,13115.08,24.5,22.86,23.68,-109.39,-111.16,-110.28,17.63,205.82,NA,NA
Chiroptera,Vespertilionidae,Myotis,pequinius,Myotis_pequinius,NA,NA,48.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,17.41,273300.51,41.45,30.94,36.2,122.7,114.55,118.62,54.68,114.57,692.59,873.25
Chiroptera,Vespertilionidae,Myotis,planiceps,Myotis_planiceps,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,2.99,27602.56,25.52,23.46,24.49,-100.34,-101.99,-101.17,20.79,159.37,528.78,992.22
Chiroptera,Vespertilionidae,Myotis,pruinosus,Myotis_pruinosus,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,4.91,264536.02,41.54,30.98,36.26,142.07,129.55,135.81,143.02,104.3,784.99,830.18
Chiroptera,Vespertilionidae,Myotis,punicus,Myotis_punicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503619.95,37.34,31.46,34.4,14.57,-8.85,2.86,34.26,154.18,394.64,1163.17
Chiroptera,Vespertilionidae,Myotis,ricketti,Myotis_ricketti,NA,NA,56.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,26.19,796233.64,37.81,21.66,29.74,121.66,98.79,110.23,106.94,150.94,1000.2,1099.26
Chiroptera,Vespertilionidae,Myotis,ridleyi,Myotis_ridleyi,NA,4.06,30,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622;2655,NA,184038.87,7.03,2.34,4.68,119.26,96.28,107.77,219.81,247.19,1665.88,1793.13
Chiroptera,Vespertilionidae,Myotis,riparius,Myotis_riparius,NA,4.57,34.99,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,196;1297;1658;2151;2622;2655;2752,NA,14273179.55,15.88,-34.94,-9.52,-34.79,-86.84,-60.81,146.96,233.61,1267.62,1501.42
Artiodactyla,Bovidae,Nanger,dama,Nanger_dama,3,71424.81,NA,1462.78,NA,NA,NA,1,NA,194.93,1,207.96,109.36,NA,1,1,869;899;1297;1525;1848;2655;2693,NA,1593778.59,28.23,12.21,20.22,33.87,-9.02,12.42,14.97,271.89,263.81,1507.48
Artiodactyla,Bovidae,Nanger,granti,Nanger_granti,2,55464.46,NA,1529.99,NA,NA,NA,2,NA,191.21,1,152.04,249.81,NA,1,1,730;869;917;1052;1297;1525;1848;2655;2693;2986,NA,963156.39,8.32,-7.75,0.28,42.35,33.54,37.94,58.07,231.78,853.79,1545.15
Artiodactyla,Bovidae,Nanger,soemmerringii,Nanger_soemmerringii,3,41582.93,NA,1360,802.23,NA,NA,NA,NA,192.53,1,186,413.84,NA,1,NA,543;869;1297;1525;1848;2655;2693,NA,1089492.28,18.79,0.83,9.81,51.14,33.73,42.44,33.87,247.71,467.55,1672.35
Rodentia,Sciuridae,Nannosciurus,melanotis,Nannosciurus_melanotis,3,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152,26.76,1066340.99,5.65,-8.78,-1.56,116.73,95.18,105.96,238.78,247.99,1659.23,1720.99
Chiroptera,Pteropodidae,Nanonycteris,veldkampii,Nanonycteris_veldkampii,NA,21.89,48,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,258;1297;1658;2151;2622;2655,NA,1388474.86,10.81,3.52,7.16,19.11,-12.49,3.3,140.81,259.24,1164.08,1580.71
Rodentia,Dipodidae,Napaeozapus,insignis,Napaeozapus_insignis,1,22.25,NA,89.73,NA,39.6,22,5,NA,22.73,2,48,420.91,8,1,2,543;1297;1822;1849;2151;2655;2943;3004,NA,2009406.44,54.23,34.57,44.4,-55.61,-96.83,-76.22,70.31,40.16,537.46,577.95
Primates,Cercopithecidae,Nasalis,larvatus,Nasalis_larvatus,3,12265.65,NA,647.49,1642.5,NA,NA,4,NA,165.04,2,252,1894.11,NA,2,1,208;543;730;741;899;1297;1347;1544;1547;1577;1767;1768;1848;2151;2344;2493;2655;2660;2986;3101,NA,574819.55,7.03,-4.18,1.42,119.26,108.83,114.05,257.08,250.21,1684.01,1720.98
Carnivora,Procyonidae,Nasua,narica,Nasua_narica,2,4578.43,NA,549.58,NA,2305.8,4460,6,365,76.82,1,212,1009.04,NA,1,2,367;730;890;1015;1113;1573;2151;2655,NA,2329129.95,35.33,7.19,21.26,-76.79,-113.87,-95.33,86.19,205.61,843.68,1399.09
Carnivora,Procyonidae,Nasua,nasua,Nasua_nasua,3,3775.5,NA,527.63,NA,1054.97,3780,6,NA,75.06,2,212.4,841.82,NA,2,2,367;543;730;1113;1297;1822;2151;2431;2655,NA,10694990.22,9.38,-32.48,-11.55,-39.91,-77.82,-58.87,156.33,239.16,1316.05,1510.34
Carnivora,Procyonidae,Nasuella,olivacea,Nasuella_olivacea,2,1339.99,NA,387.34,NA,NA,NA,6,NA,NA,1,NA,NA,NA,1,2,1113;2151;2655,NA,111926.53,9.22,-1.39,3.91,-70.09,-78.51,-74.3,118.71,177.03,1429.45,1509.97
Chiroptera,Natalidae,Natalus,jamaicensis,Natalus_jamaicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11081.39,18.52,17.7,18.11,-76.18,-78.36,-77.27,172.66,240.33,NA,NA
Chiroptera,Natalidae,Natalus,major,Natalus_major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74512.66,19.95,17.6,18.77,-68.31,-74.47,-71.39,104.89,239.05,1406.39,1578.86
Chiroptera,Natalidae,Natalus,primus,Natalus_primus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79953.26,23.15,19.82,21.49,-74.13,-83.19,-78.66,97.62,251.38,1271,1782.03
Chiroptera,Natalidae,Natalus,stramineus,Natalus_stramineus,NA,5.68,38.86,NA,NA,NA,NA,1,NA,244.85,1,57.96,NA,NA,2,3,465;657;889;1297;1658;2040;2143;2151;2655;2750,NA,3998095.4,30.42,-22.96,3.72,-34.79,-112.03,-73.41,120.63,230.73,1097.42,1522.72
Chiroptera,Natalidae,Natalus,tumidirostris,Natalus_tumidirostris,NA,6.3,38.49,NA,NA,8.31,5.4,1,NA,NA,1,NA,NA,NA,2,3,196;889;1084;1658;2151;2622;2655;2719,NA,1541215.06,12.46,1.18,6.82,-51.64,-76.92,-64.28,132.59,247.02,1426.25,1698.19
Rodentia,Cricetidae,Neacomys,dubosti,Neacomys_dubosti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Neacomys,guianae,Neacomys_guianae,NA,15.87,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,2,730;905;2151;2655,NA,490417.65,6.89,-1.13,2.88,-49.87,-60.05,-54.96,175.32,253.12,1478.99,1713.65
Rodentia,Cricetidae,Neacomys,minutus,Neacomys_minutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Neacomys,musseri,Neacomys_musseri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Neacomys,paracou,Neacomys_paracou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Neacomys,pictus,Neacomys_pictus,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,2,2151,NA,3247.73,8.34,7.69,8.01,-77.25,-77.96,-77.6,199.01,244.74,1541.75,1732.69
Rodentia,Cricetidae,Neacomys,spinosus,Neacomys_spinosus,1,19,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,2,905;2151;2655,NA,3572207.77,1.92,-20.25,-9.16,-49.37,-78.67,-64.02,182.12,246.77,1406.15,1537.98
Rodentia,Cricetidae,Neacomys,tenuipes,Neacomys_tenuipes,1,19,NA,NA,NA,NA,NA,4,NA,NA,1,NA,31.19,NA,1,2,730;905;1297;2151;2159;2655,NA,1180606.56,11.4,-3.19,4.1,-49.87,-77.93,-63.9,151.01,247.93,1425.88,1647.2
Afrosoricida,Chrysochloridae,Neamblysomus,gunningi,Neamblysomus_gunningi,NA,NA,NA,123.77,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,3,1848;2131;2629,57.44,87.66,-23.9,-24,-23.95,30.96,30.86,30.91,67.99,221,998.54,1289.53
